353 2137
0 1 11381
0 2 13006
1 3 10764
1 4 11900
2 5 10470
1 6 4836
3 7 924
6 8 12907
5 9 7211
6 10 8269
10 11 9024
1 12 18683
5 13 14116
5 14 16237
12 15 5941
0 16 4826
13 17 11615
16 18 18763
10 19 5170
3 20 11968
11 21 14174
6 22 19212
2 23 10646
7 24 16072
1 25 7688
25 26 18799
21 27 19521
1 28 14656
15 29 8907
16 30 16832
18 31 7561
22 32 6137
12 33 16858
10 34 18000
5 35 9732
34 36 1088
32 37 16082
25 38 5418
0 39 15863
22 40 18265
3 41 7109
22 42 19807
4 43 18701
36 44 16724
10 45 462
24 46 3347
4 47 15989
3 48 18444
18 49 8881
4 50 7643
35 51 18454
8 52 18145
19 53 16139
13 54 11234
38 55 19627
38 56 876
10 57 15338
44 58 18068
58 59 2314
37 60 7661
44 61 9937
23 62 9418
5 63 15613
54 64 6735
61 65 13232
58 66 11776
56 67 6873
5 68 6875
40 69 9836
11 70 8954
69 71 8060
19 72 8975
30 73 15240
45 74 11440
27 75 5060
51 76 18811
23 77 4183
19 78 6242
70 79 4524
60 80 8138
42 81 169
58 82 4581
6 83 3971
57 84 7390
53 85 6325
79 86 5620
29 87 7116
56 88 17429
26 89 12307
44 90 2280
87 91 15232
47 92 8626
86 93 7398
21 94 3242
14 95 6353
74 96 17214
67 97 14557
15 98 2763
60 99 9270
88 100 12087
28 101 4300
60 102 6028
43 103 9312
45 104 8070
82 105 7101
86 106 14653
31 107 18108
47 108 9566
48 109 12093
86 110 3606
51 111 16787
104 112 8925
27 113 5270
58 114 32
39 115 18375
52 116 7153
65 117 3933
115 118 4187
110 119 8046
91 120 3769
112 121 15973
96 122 6545
66 123 16495
4 124 15676
112 125 17238
100 126 16066
74 127 18768
119 128 16528
96 129 7134
87 130 13483
37 131 3538
14 132 17887
28 133 11475
41 134 10252
17 135 9514
45 136 9980
66 137 19014
36 138 16797
38 139 1108
33 140 7688
72 141 5312
62 142 18305
132 143 379
57 144 4021
102 145 10875
36 146 2456
13 147 1202
126 148 18551
111 149 9056
96 150 4586
140 151 10505
100 152 5816
118 153 6951
58 154 19492
138 155 12376
11 156 3164
52 157 2813
65 158 10764
43 159 16103
145 160 19831
5 161 13550
135 162 11807
115 163 2340
60 164 6901
101 165 19671
19 166 14905
156 167 932
142 168 2584
22 169 13218
51 170 7550
2 171 10101
73 172 6514
8 173 15405
152 174 10563
141 175 18709
92 176 6236
61 177 10921
81 178 7312
107 179 17870
164 180 5177
134 181 14108
111 182 7504
149 183 12112
131 184 1687
111 185 13917
60 186 2352
152 187 14015
158 188 19892
72 189 3054
108 190 2087
189 191 16995
62 192 13052
49 193 14524
169 194 1
131 195 12645
25 196 14821
31 197 15369
142 198 18063
95 199 13112
140 200 9686
118 201 15183
21 202 1716
58 203 8597
63 204 16059
10 205 12005
199 206 19585
115 207 2164
189 208 10906
16 209 446
84 210 16598
84 211 1300
171 212 8987
118 213 4109
20 214 14900
34 215 7837
165 216 3552
113 217 9583
84 218 10576
149 219 12417
206 220 8818
26 221 11597
169 222 4470
131 223 19115
206 224 11202
85 225 5428
18 226 18140
25 227 6517
10 228 12762
135 229 3228
63 230 1770
205 231 9696
7 232 2366
99 233 8680
226 234 12648
174 235 9629
229 236 18689
42 237 4362
222 238 1956
104 239 19748
210 240 2548
141 241 9920
188 242 16147
73 243 1529
83 244 10196
78 245 369
87 246 18597
185 247 2053
93 248 785
115 249 14907
101 250 10871
138 251 5498
23 252 13988
185 253 7528
116 254 17130
191 255 611
69 256 14673
97 257 4557
254 258 12894
70 259 121
57 260 2231
50 261 1798
6 262 5211
44 263 10242
252 264 8112
154 265 7280
142 266 10792
118 267 5996
49 268 9776
136 269 18980
102 270 19001
18 271 8528
203 272 12777
96 273 19366
269 274 13334
8 275 13244
171 276 2228
125 277 9577
273 278 19512
237 279 14834
4 280 12109
97 281 4631
180 282 16889
250 283 7981
261 284 13413
200 285 18008
2 286 12355
264 287 19319
77 288 7474
32 289 5325
105 290 10111
141 291 15152
162 292 10832
41 293 8595
59 294 7830
157 295 15607
125 296 9862
2 297 10708
278 298 16700
231 299 11542
77 300 11848
127 301 545
238 302 17828
52 303 4639
24 304 16906
148 305 13485
171 306 1970
214 307 7836
212 308 3376
201 309 261
265 310 17147
98 311 623
149 312 3130
25 313 2741
67 314 12392
51 315 11550
198 316 13730
74 317 5128
71 318 10119
235 319 4199
265 320 18777
189 321 11283
220 322 19795
33 323 1110
221 324 9927
112 325 13680
96 326 13675
21 327 15666
154 328 7299
21 329 12785
78 330 18520
80 331 10870
10 332 9197
186 333 5201
95 334 7342
95 335 6762
316 336 6889
224 337 12117
169 338 5432
49 339 2049
168 340 12417
232 341 2197
88 342 7290
106 343 7589
95 344 4488
198 345 9678
173 346 3863
25 347 6967
273 348 9650
130 349 19063
182 350 8507
189 351 8575
303 352 3555
294 25 3095
152 194 9542
104 154 2204
217 217 15192
1 130 18919
329 145 973
1 136 17888
255 352 12391
216 304 19852
136 126 13487
281 9 13459
251 198 19824
25 94 1326
28 35 4389
102 57 1713
149 30 7266
276 64 16679
342 72 4867
149 164 7790
112 200 15428
295 323 11533
193 28 4682
323 244 2833
335 147 8389
64 95 15009
8 239 8044
340 232 5025
342 307 8021
200 298 43
153 49 5733
200 314 10527
310 324 4759
156 343 15171
54 46 11464
262 187 4687
293 58 14385
74 311 4915
80 204 366
260 145 1640
258 83 16510
4 108 18718
349 92 5190
100 147 19530
302 332 11812
186 331 7318
6 151 19117
265 130 17101
59 215 18230
81 223 19978
84 251 4791
334 73 5916
113 302 9121
102 213 7187
248 195 8765
325 46 10259
197 42 8695
117 264 3742
332 59 3655
297 10 1919
85 278 18432
227 330 317
57 226 108
266 282 12478
285 160 18998
35 188 10202
286 102 5040
244 42 4660
327 104 1762
124 30 230
142 159 10351
137 187 13399
318 37 14495
212 215 18911
118 331 2271
302 258 5900
42 32 13208
166 36 16898
301 249 4541
227 283 15802
173 352 9657
274 138 7549
198 103 19231
237 111 17435
249 23 8053
106 0 3453
295 173 7033
178 267 7968
312 120 9418
277 262 13652
25 114 19200
161 104 8833
129 54 7655
62 222 5541
68 249 15422
236 286 9999
199 220 5268
144 243 4915
73 22 6701
133 289 12827
197 68 15722
212 9 7904
254 19 16688
313 230 18120
6 157 11132
297 182 14125
280 41 19660
240 158 6449
155 293 11552
235 257 1644
22 312 16639
254 214 1927
45 308 7123
346 162 14850
284 106 11645
94 21 153
254 112 3447
35 14 10035
172 101 11921
174 155 7143
317 150 16655
342 203 2711
189 104 15624
323 48 1514
194 264 15712
72 306 11185
285 138 19508
123 149 8129
73 210 146
163 69 898
110 289 10711
197 80 13391
86 205 9623
229 259 3660
174 322 8743
221 230 14578
72 98 12118
195 339 8487
141 327 1780
184 138 492
182 49 3972
111 297 156
134 94 11752
337 22 5201
319 333 10243
308 2 1294
132 350 19839
241 112 10090
188 254 6982
275 52 5159
105 35 2851
59 245 8545
166 234 5045
326 119 10993
78 223 8605
157 284 7523
230 320 11091
92 229 13524
244 245 5954
81 271 9103
341 27 5593
98 210 1988
8 242 2306
341 321 14732
141 103 6470
339 255 19821
202 308 17424
44 246 19460
141 140 10242
148 55 18123
70 29 15772
227 151 7504
78 338 14508
172 16 19045
310 255 9620
121 204 64
86 54 13906
26 44 19688
129 66 2913
242 96 1128
17 193 9884
227 244 19158
207 219 18576
101 208 1249
199 268 4434
1 145 5657
279 241 9715
255 19 10043
141 350 15822
106 252 4622
251 211 18833
107 176 6940
323 61 13537
120 144 130
295 106 17545
32 5 14216
236 252 10617
160 286 913
143 130 16587
258 277 11043
102 333 18765
117 134 19667
179 132 11048
273 346 7801
66 342 18340
316 287 17124
331 254 3435
186 279 15752
345 128 12849
81 187 6560
302 63 8180
267 137 8074
174 51 13999
229 177 19005
218 72 16876
324 296 16039
166 267 3152
306 306 13408
3 89 16066
160 343 12659
338 211 10041
297 331 11080
34 21 2134
76 28 4924
69 31 13333
252 183 12469
317 85 555
188 50 9545
186 184 12766
31 99 81
220 279 12283
329 100 17033
284 344 13689
287 99 11154
314 108 16172
268 331 3681
52 296 3921
203 184 10588
161 235 19611
196 187 4322
173 175 19972
261 249 16107
307 347 3384
62 199 2950
195 242 8978
105 320 3324
90 225 6280
119 161 5668
0 128 4162
84 166 5920
212 40 2167
