118058 28571
3 8 18
3 10 26
3 24 27
3 25 34
3 50 17
3 54 20
3 74 19
3 81 18
3 91 23
3 92 17
3 101 42
3 114 16
3 234 21
3 236 27
3 314 29
3 327 22
3 401 23
3 427 23
3 438 33
3 505 17
3 669 27
3 674 16
3 702 27
3 787 23
3 947 17
3 950 21
3 988 19
3 1134 33
3 1441 17
3 1631 16
3 1719 16
3 1801 18
3 1904 17
3 2524 21
3 2549 27
3 2552 27
3 2562 23
3 2574 19
3 2581 16
3 2587 27
3 2602 26
3 2606 21
3 2617 25
3 2629 25
3 2652 44
3 2664 28
3 2671 16
3 2676 25
3 2686 19
3 2687 19
3 2689 20
3 2690 20
3 2693 27
3 2700 18
3 2721 24
3 2740 17
3 2743 22
3 2749 23
3 2751 19
3 2752 25
3 2760 34
3 2805 18
3 2816 25
3 2874 31
3 2886 36
3 2887 24
3 2891 18
3 2895 22
3 2896 23
3 2897 30
3 2907 17
3 2909 21
3 2920 23
3 2921 21
3 2925 27
3 2943 16
3 2944 21
3 2954 20
3 2955 22
3 2956 35
3 2957 27
3 2958 21
3 2960 23
3 2963 20
3 3094 30
3 3107 20
3 3162 16
3 3187 26
3 3192 19
3 3277 18
3 3341 19
3 3363 19
3 3652 18
3 3687 24
3 3882 30
3 4024 24
3 4245 16
3 4315 18
3 4536 17
3 4650 34
3 4651 16
3 5150 19
3 5279 23
3 5723 16
3 6117 20
3 6460 19
3 6624 19
3 7153 18
3 8653 16
3 8669 22
3 8936 17
3 9253 16
3 9384 22
3 9746 23
3 10267 17
3 10336 17
3 10626 16
3 10973 17
3 11352 22
3 11617 22
3 11724 19
3 12159 17
3 12413 17
3 12905 32
3 12949 20
3 13007 16
3 13177 21
3 13608 19
3 13964 19
3 13999 20
3 14026 21
3 14196 16
3 14356 16
3 14787 19
3 14788 22
3 15204 20
3 15216 22
3 15273 17
3 15684 19
3 16155 16
3 16264 21
3 16349 18
3 16974 16
3 17603 17
3 18097 17
3 18179 18
3 18305 19
3 19823 17
3 20988 23
3 25254 19
8 24 60
8 25 93
8 39 28
8 47 20
8 50 31
8 51 22
8 54 32
8 69 23
8 73 49
8 74 44
8 81 34
8 86 18
8 91 34
8 92 43
8 93 17
8 101 38
8 114 19
8 132 17
8 157 32
8 190 27
8 236 24
8 240 16
8 314 17
8 316 19
8 327 37
8 401 17
8 438 20
8 448 25
8 669 87
8 702 24
8 947 18
8 1049 16
8 1134 16
8 1371 22
8 1801 23
8 1904 18
8 2204 30
8 2326 16
8 2524 27
8 2531 16
8 2538 26
8 2549 26
8 2552 19
8 2553 21
8 2562 31
8 2563 31
8 2587 24
8 2602 18
8 2606 22
8 2617 23
8 2642 21
8 2652 34
8 2655 63
8 2664 74
8 2671 18
8 2700 26
8 2704 19
8 2718 17
8 2721 31
8 2749 20
8 2757 26
8 2760 16
8 2886 22
8 2897 28
8 2956 18
8 3086 21
8 3092 23
8 3094 32
8 3103 18
8 3107 27
8 3109 21
8 3187 35
8 3216 21
8 3277 28
8 3341 26
8 3397 17
8 3687 25
8 3882 20
8 3909 16
8 3935 27
8 4059 17
8 4357 20
8 4650 25
8 5298 16
8 5860 25
8 6624 23
8 7136 53
8 8556 32
8 9384 16
8 9425 20
8 9441 16
8 9746 20
8 10626 23
8 11724 27
8 12905 40
8 12949 18
8 13177 22
8 13417 19
8 13608 19
8 13964 19
8 13999 16
8 14026 25
8 14196 18
8 14284 37
8 14326 56
8 14335 17
8 14356 18
8 14752 19
8 14755 19
8 14787 17
8 14789 35
8 15204 16
8 15216 16
8 16264 27
8 17039 20
8 17485 28
8 22149 24
8 23364 17
8 25254 22
8 44860 17
10 24 18
10 25 19
10 54 18
10 91 19
10 101 26
10 236 33
10 314 25
10 438 21
10 674 17
10 787 16
10 1134 21
10 1801 19
10 2549 21
10 2617 16
10 2652 23
10 2664 20
10 2749 16
10 2760 18
10 2874 22
10 2886 27
10 2925 16
10 2956 19
10 2960 16
10 2963 17
10 3094 17
10 3187 16
10 3882 18
10 4650 25
10 6571 16
10 9746 16
10 12905 22
10 15273 17
18 24 20
18 25 16
24 25 85
24 37 16
24 39 18
24 47 53
24 50 29
24 51 35
24 54 41
24 69 37
24 73 19
24 74 61
24 81 58
24 86 20
24 91 32
24 92 23
24 101 53
24 114 54
24 132 16
24 157 26
24 170 17
24 234 23
24 236 66
24 240 27
24 253 16
24 314 23
24 327 61
24 401 17
24 438 60
24 448 16
24 493 20
24 632 22
24 669 78
24 702 30
24 787 22
24 947 29
24 950 18
24 1049 34
24 1134 40
24 1801 21
24 1913 21
24 1927 18
24 2263 19
24 2524 25
24 2531 16
24 2539 16
24 2549 58
24 2552 47
24 2553 26
24 2562 35
24 2563 28
24 2570 32
24 2573 20
24 2574 22
24 2579 26
24 2581 22
24 2583 27
24 2587 50
24 2601 26
24 2602 45
24 2605 24
24 2606 27
24 2608 16
24 2615 27
24 2617 30
24 2629 29
24 2630 17
24 2632 35
24 2639 29
24 2641 18
24 2642 47
24 2643 27
24 2646 20
24 2649 33
24 2652 88
24 2655 55
24 2659 18
24 2664 65
24 2665 17
24 2671 40
24 2676 38
24 2677 36
24 2679 20
24 2685 29
24 2686 44
24 2687 37
24 2689 43
24 2690 43
24 2693 54
24 2697 27
24 2700 24
24 2701 21
24 2704 30
24 2717 16
24 2718 24
24 2721 22
24 2740 24
24 2743 17
24 2746 36
24 2748 20
24 2749 45
24 2751 37
24 2752 26
24 2755 16
24 2757 23
24 2760 45
24 2763 32
24 2774 43
24 2803 19
24 2805 27
24 2816 31
24 2868 31
24 2874 34
24 2876 16
24 2886 52
24 2887 51
24 2891 36
24 2893 27
24 2894 18
24 2895 36
24 2896 45
24 2897 56
24 2898 20
24 2900 25
24 2903 21
24 2907 34
24 2908 23
24 2909 24
24 2920 32
24 2921 27
24 2925 46
24 2926 16
24 2936 22
24 2943 37
24 2944 50
24 2946 31
24 2949 19
24 2952 28
24 2953 24
24 2954 44
24 2955 43
24 2956 54
24 2957 42
24 2958 32
24 2959 29
24 2960 42
24 2962 18
24 2963 20
24 3086 19
24 3092 16
24 3094 48
24 3107 23
24 3109 19
24 3113 30
24 3118 18
24 3162 17
24 3187 33
24 3190 16
24 3192 25
24 3199 20
24 3256 18
24 3277 26
24 3341 33
24 3363 23
24 3510 19
24 3590 46
24 3643 22
24 3687 33
24 3767 21
24 3882 45
24 3935 29
24 4024 22
24 4357 26
24 4481 18
24 4518 17
24 4650 35
24 4651 16
24 5150 30
24 5279 21
24 5298 22
24 5317 27
24 5415 28
24 6571 17
24 6942 25
24 7136 35
24 7153 26
24 7222 26
24 7542 20
24 8164 26
24 8223 19
24 8629 18
24 8652 20
24 8653 34
24 8669 43
24 8708 17
24 8745 16
24 8753 29
24 8756 16
24 8761 19
24 8789 21
24 8910 16
24 8934 32
24 8937 23
24 8946 29
24 8951 47
24 8983 28
24 8986 35
24 9003 18
24 9065 19
24 9169 22
24 9189 24
24 9253 21
24 9384 17
24 9425 20
24 9428 32
24 9441 24
24 9526 23
24 9746 26
24 10045 16
24 10067 16
24 10122 19
24 10242 23
24 10245 20
24 10267 17
24 10336 16
24 11078 26
24 11087 17
24 11238 20
24 11241 17
24 11452 18
24 11617 17
24 11657 16
24 11724 23
24 11735 16
24 11797 19
24 11982 21
24 12062 23
24 12159 31
24 12176 43
24 12187 20
24 12247 19
24 12347 20
24 12745 16
24 12761 23
24 12764 16
24 12821 28
24 12851 31
24 12905 46
24 12949 32
24 13174 21
24 13177 32
24 13608 20
24 13794 23
24 13943 19
24 13964 21
24 13978 17
24 13999 22
24 14026 24
24 14085 18
24 14196 19
24 14197 17
24 14215 16
24 14251 22
24 14271 16
24 14284 25
24 14326 37
24 14364 19
24 14376 16
24 14379 21
24 14591 21
24 14752 25
24 14787 18
24 14789 17
24 15216 17
24 15684 17
24 15695 16
24 16154 20
24 18179 17
24 18699 18
24 22009 19
24 23195 21
24 25254 21
24 26185 16
25 47 41
25 48 21
25 50 27
25 51 19
25 54 44
25 69 20
25 73 40
25 74 45
25 81 62
25 86 18
25 88 16
25 91 36
25 92 37
25 101 58
25 114 40
25 125 16
25 132 21
25 157 28
25 170 19
25 234 22
25 236 51
25 314 23
25 316 23
25 323 17
25 327 59
25 401 24
25 427 21
25 438 60
25 448 20
25 464 17
25 493 21
25 632 31
25 669 96
25 702 38
25 723 33
25 787 27
25 947 37
25 950 24
25 1049 19
25 1134 45
25 1371 18
25 1384 16
25 1441 21
25 1558 26
25 1801 35
25 1904 20
25 1913 23
25 1927 16
25 2204 37
25 2263 24
25 2307 17
25 2524 27
25 2538 21
25 2549 60
25 2552 46
25 2553 30
25 2562 48
25 2563 41
25 2567 16
25 2570 26
25 2573 19
25 2574 24
25 2579 21
25 2581 34
25 2583 25
25 2587 53
25 2601 20
25 2602 57
25 2605 29
25 2606 31
25 2615 27
25 2617 38
25 2621 21
25 2623 18
25 2624 21
25 2629 39
25 2632 33
25 2639 25
25 2641 18
25 2642 43
25 2643 30
25 2646 33
25 2649 25
25 2652 83
25 2655 75
25 2664 100
25 2669 20
25 2671 43
25 2676 45
25 2677 36
25 2679 25
25 2685 25
25 2686 34
25 2687 39
25 2689 46
25 2690 43
25 2693 50
25 2697 28
25 2700 33
25 2701 17
25 2704 44
25 2718 36
25 2721 40
25 2740 29
25 2743 21
25 2746 23
25 2749 34
25 2751 47
25 2752 21
25 2755 25
25 2757 31
25 2759 16
25 2760 49
25 2763 27
25 2774 35
25 2788 16
25 2805 26
25 2816 34
25 2868 22
25 2874 43
25 2886 64
25 2887 46
25 2891 27
25 2893 28
25 2894 18
25 2895 36
25 2896 46
25 2897 67
25 2898 23
25 2900 27
25 2903 20
25 2907 33
25 2908 24
25 2909 29
25 2920 29
25 2921 22
25 2925 45
25 2926 18
25 2928 21
25 2936 25
25 2943 40
25 2944 44
25 2946 31
25 2949 21
25 2952 27
25 2953 22
25 2954 44
25 2955 38
25 2956 54
25 2957 44
25 2958 28
25 2959 24
25 2960 38
25 2962 20
25 2963 31
25 3086 16
25 3090 21
25 3092 20
25 3094 60
25 3103 20
25 3107 22
25 3109 24
25 3113 19
25 3118 25
25 3127 20
25 3162 22
25 3187 45
25 3190 18
25 3192 24
25 3199 17
25 3216 18
25 3277 33
25 3289 18
25 3290 22
25 3341 37
25 3363 25
25 3397 17
25 3510 23
25 3566 16
25 3590 32
25 3640 19
25 3643 16
25 3652 18
25 3681 24
25 3687 39
25 3767 19
25 3813 16
25 3882 55
25 3901 18
25 3909 22
25 3935 25
25 3955 17
25 4015 21
25 4024 30
25 4059 20
25 4357 28
25 4486 18
25 4518 16
25 4524 18
25 4650 46
25 5150 33
25 5279 18
25 5298 28
25 5317 22
25 5415 20
25 5696 16
25 5723 18
25 5772 18
25 5860 22
25 6096 17
25 6097 16
25 6117 17
25 6571 20
25 6624 29
25 6942 19
25 6998 16
25 7132 23
25 7136 49
25 7153 28
25 7222 25
25 7542 23
25 8158 18
25 8164 23
25 8223 16
25 8345 21
25 8556 28
25 8629 18
25 8652 20
25 8653 30
25 8669 37
25 8687 16
25 8708 24
25 8753 24
25 8756 22
25 8761 24
25 8787 16
25 8934 21
25 8937 28
25 8951 38
