1419 42852
0 1 9
0 2 4
0 316 8
0 318 8
0 319 12
0 321 10
0 324 16
0 327 13
0 328 6
0 330 4
0 332 18
0 333 12
0 334 7
0 335 8
0 338 6
0 341 12
0 344 6
0 348 3
0 352 3
0 359 6
0 376 4
0 377 4
0 378 3
0 382 4
0 394 6
0 396 4
0 408 11
0 556 10
0 557 7
0 558 3
0 561 6
0 562 3
0 564 4
0 565 8
0 566 8
0 567 3
0 568 3
0 569 3
0 577 12
0 578 3
0 579 7
0 580 4
0 583 3
0 587 9
0 592 10
0 593 7
0 595 15
0 597 4
0 599 4
0 603 6
0 607 6
0 641 3
0 642 4
0 643 4
0 646 3
0 648 6
0 651 3
0 655 15
0 668 6
0 680 3
0 681 4
0 684 4
0 698 6
0 700 6
0 707 4
0 727 3
0 836 12
0 841 4
0 843 6
0 844 4
0 845 3
0 856 3
0 857 6
0 858 6
0 864 4
0 866 6
0 869 4
0 871 4
0 876 4
0 877 6
0 878 3
0 879 4
0 884 6
0 893 3
0 896 3
0 904 3
0 906 4
0 913 4
0 917 4
0 920 4
0 923 7
0 927 3
0 929 3
0 931 4
0 958 8
0 961 4
0 963 3
0 968 3
0 973 4
0 974 3
0 995 6
0 1375 3
1 2 4
1 316 12
1 318 16
1 319 4
1 321 10
1 324 16
1 327 20
1 328 8
1 330 4
1 332 9
1 333 11
1 334 6
1 335 12
1 341 14
1 344 12
1 348 3
1 359 6
1 374 3
1 376 8
1 389 3
1 394 9
1 408 20
1 413 3
1 421 3
1 476 3
1 485 4
1 556 19
1 557 4
1 558 3
1 561 3
1 562 6
1 563 8
1 564 10
1 565 4
1 566 16
1 567 9
1 568 3
1 569 3
1 577 9
1 578 3
1 579 11
1 580 8
1 583 3
1 587 12
1 592 10
1 593 5
1 595 9
1 597 10
1 600 6
1 603 9
1 607 4
1 621 3
1 641 6
1 643 4
1 646 3
1 648 8
1 651 6
1 654 4
1 655 9
1 660 4
1 668 3
1 674 4
1 680 15
1 684 4
1 691 4
1 698 10
1 700 6
1 706 4
1 715 3
1 717 5
1 721 3
1 727 6
1 759 4
1 776 3
1 780 3
1 836 20
1 841 4
1 843 3
1 844 8
1 857 6
1 858 6
1 865 4
1 866 10
1 869 6
1 876 3
1 877 6
1 884 6
1 890 4
1 892 6
1 896 6
1 898 9
1 918 4
1 920 4
1 922 3
1 923 3
1 927 7
1 929 3
1 931 4
1 938 3
1 958 3
1 967 6
1 974 3
1 976 3
1 984 4
1 989 4
1 995 9
1 1026 3
1 1027 3
1 1028 3
1 1375 3
2 316 4
2 318 12
2 319 4
2 321 4
2 322 4
2 324 4
2 327 7
2 328 4
2 332 9
2 333 12
2 334 6
2 338 8
2 341 8
2 343 3
2 344 8
2 350 6
2 355 4
2 358 6
2 364 3
2 376 4
2 377 3
2 378 6
2 396 5
2 408 3
2 556 4
2 557 5
2 558 6
2 561 3
2 562 12
2 563 4
2 566 8
2 567 3
2 568 9
2 569 9
2 570 6
2 575 3
2 577 3
2 579 4
2 580 4
2 581 4
2 582 4
2 583 3
2 584 4
2 587 3
2 589 4
2 592 6
2 593 4
2 595 4
2 597 6
2 600 4
2 603 6
2 607 6
2 641 3
2 642 6
2 646 9
2 648 9
2 649 4
2 651 6
2 654 7
2 655 6
2 668 6
2 674 4
2 680 3
2 684 4
2 692 6
2 698 6
2 707 6
2 715 3
2 727 3
2 759 3
2 836 12
2 844 6
2 854 4
2 858 3
2 866 6
2 869 6
2 884 4
2 896 6
2 898 7
2 900 3
2 920 6
2 926 3
2 931 4
2 938 3
2 958 5
2 995 4
3 317 4
3 318 4
3 320 4
3 324 4
3 333 3
3 340 4
3 341 5
3 343 9
3 348 3
3 358 4
3 374 3
3 376 4
3 377 3
3 378 3
3 396 7
3 408 6
3 559 4
3 566 4
3 569 3
3 577 6
3 580 4
3 583 3
3 593 3
3 595 4
3 597 4
3 600 4
3 603 3
3 607 4
3 668 6
3 847 3
3 858 6
3 884 4
3 896 6
3 898 3
3 918 4
3 989 3
3 995 3
5 11 4
5 322 4
5 329 4
5 333 4
5 335 4
5 338 4
5 341 4
5 343 6
5 344 4
5 358 4
5 359 3
5 364 4
5 374 3
5 376 6
5 377 3
5 389 3
5 391 3
5 396 4
5 403 3
5 414 4
5 427 3
5 485 3
5 566 4
5 570 4
5 577 4
5 593 3
5 597 4
5 600 4
5 668 4
5 692 4
5 707 4
5 727 3
5 734 3
5 879 4
5 900 3
5 906 4
5 968 3
5 971 3
5 989 3
11 14 3
11 638 6
11 727 3
12 995 3
14 638 3
18 324 3
18 327 3
18 330 3
18 341 3
18 344 3
18 485 3
18 564 3
18 577 3
18 603 3
18 627 3
18 648 3
18 655 3
18 691 3
18 698 4
18 707 3
18 759 4
18 843 3
18 866 5
18 877 3
18 889 4
18 896 3
18 929 4
18 950 3
18 995 4
18 1027 5
18 1047 3
18 1195 4
18 1375 3
19 359 3
24 961 3
29 38 4
29 866 3
29 933 3
29 961 3
29 962 3
29 968 3
29 1195 4
30 333 3
30 341 3
30 408 3
30 561 4
30 597 4
30 927 4
30 958 4
33 727 3
36 971 3
37 358 3
37 408 3
37 476 3
37 727 3
37 995 3
38 580 3
38 648 3
38 865 3
38 896 3
40 394 3
40 557 3
40 971 3
40 984 3
40 989 3
40 995 4
40 1375 3
48 971 3
50 580 4
54 727 3
54 958 3
54 995 3
55 391 3
55 869 3
63 557 3
70 89 3
70 971 3
70 1394 3
71 557 3
71 579 3
71 1227 3
71 1284 3
71 1316 3
71 1393 3
74 597 3
74 958 5
74 965 3
80 408 4
80 727 3
80 759 3
80 898 3
80 958 3
80 968 3
80 971 3
80 995 4
80 1195 3
80 1227 3
80 1228 3
80 1375 3
84 327 3
84 394 3
84 408 3
84 557 3
84 593 4
84 727 3
84 922 3
84 968 4
84 995 3
88 989 3
88 995 3
89 1217 3
101 394 3
101 1195 3
110 225 3
114 394 3
114 408 3
114 727 3
114 759 3
114 923 3
114 927 4
114 958 5
114 971 3
114 1195 3
114 1227 5
114 1250 3
114 1252 3
114 1284 3
114 1316 3
114 1350 3
114 1393 3
120 476 3
120 1323 3
124 134 3
134 1227 3
134 1385 3
136 774 3
136 1195 3
136 1217 3
136 1274 3
136 1316 3
136 1375 3
136 1385 4
136 1413 3
146 968 3
147 250 3
147 324 3
147 394 3
147 727 3
147 914 3
147 923 3
147 927 4
147 952 3
147 958 4
147 989 3
147 1195 3
147 1227 3
147 1250 4
147 1375 3
148 557 3
148 727 3
148 869 3
148 923 4
148 971 3
148 989 4
148 1227 3
148 1250 3
148 1387 4
164 333 3
164 341 3
164 557 3
164 579 3
164 727 4
164 898 3
164 923 3
164 968 4
164 971 5
164 984 3
164 1195 3
164 1217 3
164 1227 3
182 995 3
210 335 3
210 579 3
210 727 3
210 958 3
214 408 3
214 958 3
217 1375 3
223 476 3
223 958 3
225 727 3
242 408 3
242 958 3
242 995 5
246 394 4
246 898 3
246 1375 4
248 376 3
248 394 3
248 408 3
248 421 3
248 476 3
248 727 5
248 759 3
248 900 3
248 914 3
248 927 4
248 958 4
248 968 3
248 971 5
248 989 4
248 995 3
248 1217 3
248 1387 3
249 394 3
249 923 4
250 394 3
250 727 4
250 927 3
251 394 3
251 408 3
251 557 3
251 579 3
251 727 3
251 869 3
251 898 3
251 923 3
251 927 3
